Inputs,Sobol Index,Upper Bound,Lower Bound
S_w,0.117561,0.0786545,0.162127
W_fw,3.47027e-05,-0.040064,0.0475854
A,0.240287,0.195996,0.29162
Lambda,0.000185688,-0.0394936,0.0473597
q,1.68533e-05,-0.0399421,0.0474956
ell,0.0027016,-0.0373986,0.0503322
t_c,0.135405,0.0927714,0.1796
N_z,0.424284,0.374711,0.484775
W_dg,0.0875612,0.0517186,0.135587
W_p,0.00455802,-0.0349048,0.0513941
